TimePeriod,GeoType,GeoID,GeoRank,Geography,Nitric Oxide Mean ppb,PM2.5 Mean mcg/m3,Black Carbon Mean absorbance units,Nitrogen Dioxide Mean ppb
Winter 2017-18,UHF42,103,4,Fordham - Bronx Pk,19.6,8.2,0.9,22.8
Winter 2017-18,UHF42,104,4,Pelham - Throgs Neck,18.1,8.1,0.8,22.9
Winter 2017-18,UHF42,105,4,Crotona -Tremont,20.1,8.5,0.9,25.8
Winter 2017-18,UHF42,106,4,High Bridge - Morrisania,20.1,8.6,0.9,27
Winter 2017-18,UHF42,107,4,Hunts Point - Mott Haven,18.4,8.8,1,26.8
Winter 2017-18,UHF42,201,4,Greenpoint,24,10.1,1.1,28.1
Winter 2017-18,UHF42,202,4,Downtown - Heights - Slope,25,9.4,0.9,27.2
Winter 2017-18,UHF42,203,4,Bedford Stuyvesant - Crown Heights,22.9,8.6,0.8,26.2
Winter 2017-18,UHF42,204,4,East New York,19.7,8.2,0.8,24.5
Winter 2017-18,UHF42,205,4,Sunset Park,20.9,9.2,0.8,25.8
Winter 2017-18,UHF42,206,4,Borough Park,18.7,8.4,0.7,24.2
Winter 2017-18,UHF42,207,4,East Flatbush - Flatbush,21,8.4,0.7,24.3
Winter 2017-18,UHF42,208,4,Canarsie - Flatlands,16.4,7.9,0.6,20.5
Winter 2017-18,UHF42,209,4,Bensonhurst - Bay Ridge,16.4,8.1,0.7,22.7
Winter 2017-18,UHF42,210,4,Coney Island - Sheepshead Bay,14.5,7.8,0.6,19.7
Winter 2017-18,UHF42,211,4,Williamsburg - Bushwick,23.1,9.4,1,27.7
Winter 2017-18,UHF42,301,4,Washington Heights,21.7,8.3,0.9,25.6
Winter 2017-18,UHF42,302,4,Central Harlem - Morningside Heights,20.9,8.4,0.9,27.5
Winter 2017-18,UHF42,303,4,East Harlem,21.6,8.4,0.9,26.8
Winter 2017-18,UHF42,304,4,Upper West Side,26.5,9.2,0.9,27.3
Winter 2017-18,UHF42,305,4,Upper East Side,30.5,9.8,1,28.6
Winter 2017-18,UHF42,306,4,Chelsea - Clinton,32.5,11.2,1.3,31.9
